recipe_id,recipe_code,cheese_type,variant_name,origin_style,aging_days,milk_type_required,fat_content_pct,moisture_pct,salt_pct,starter_culture,coagulation_method,yield_ratio_pct,shelf_life_days,certification,version,status,created_by,last_updated,notes
524394,RCP61923,Cheddar,Cheddar Classic,French Artisan,30,Buffalo,15.9,25.8,1.62,Natural,Enzymatic,12.33,14,None,v2.0,Discontinued,CHEM-135,2019-04-13,Review pending
426103,RCP61854,Gouda,Gouda Bold,Dutch Heritage,0,Cow,10.8,50.4,1.74,Mold-Ripened,Rennet,20.41,60,Halal,v2.0,Active,CHEM-139,2021-06-18,Domestic market
163962,RCP74839,Parmesan,Parmesan Reserve,American Style,90,Cow,10.3,63.2,2.5,Mesophilic,Rennet,11.24,30,None,v2.1,Active,CHEM-143,2023-09-20,Standard production
786562,RCP79479,Gouda,Gouda Artisan,English Classic,30,Cow,35.9,40.3,3.15,Natural,Enzymatic,17.46,730,None,v3.0,Archived,CHEM-123,2020-03-07,Standard production
327815,RCP26779,Mozzarella,Mozzarella Premium,Fusion Modern,180,Cow,17.4,38.7,2.88,Thermophilic,Acid,14.44,730,Halal+Organic,v2.0,In Review,CHEM-146,2019-08-26,Export grade
884875,RCP18930,Ricotta,Ricotta Classic,Dutch Heritage,30,Cow,36.1,35.1,2.97,Mold-Ripened,Rennet,14.8,60,None,v3.0,Active,CHEM-113,2023-05-20,Domestic market
819341,RCP24008,Cheddar,Cheddar Light,English Classic,365,Goat,41.3,70.5,0.8,Mixed Culture,Rennet,8.55,730,ISO22000,v3.0,Discontinued,CHEM-126,2022-03-25,Domestic market
655504,RCP46081,Camembert,Camembert Artisan,Swiss Alpine,180,Cow,16.5,47.0,1.93,Mold-Ripened,Rennet,16.15,30,Halal,v3.0,Active,CHEM-138,2019-01-18,High demand
163987,RCP43614,Brie,Brie Extra Aged,American Style,0,Buffalo,21.3,44.8,2.88,Mold-Ripened,Rennet,9.94,30,Organic,v4.0,Archived,CHEM-120,2022-08-11,Seasonal only
688276,RCP13861,Parmesan,Parmesan Classic,Dutch Heritage,30,Buffalo,32.8,72.6,3.77,Natural,Rennet,20.29,60,None,v1.1,Archived,CHEM-150,2021-01-28,Seasonal only
721044,RCP74163,Emmental,Emmental Bold,Traditional Italian,365,Mixed,43.2,62.7,2.47,Mold-Ripened,Rennet,16.42,365,Halal,v3.0,Archived,CHEM-124,2021-11-30,Export grade
131222,RCP39702,Camembert,Camembert Bold,Dutch Heritage,180,Cow,31.5,70.8,2.1,Natural,Rennet,19.41,365,Halal,v3.1,In Review,CHEM-137,2023-12-31,Standard production
884886,RCP20038,Mozzarella,Mozzarella Bold,Indonesian Local,730,Goat,27.3,45.9,1.43,Mold-Ripened,Heat-Acid,21.9,21,None,v4.0,Active,CHEM-103,2019-01-06,Seasonal only
622746,RCP14698,Cheddar,Cheddar Light,French Artisan,0,Cow,42.4,53.6,2.73,Mesophilic,Rennet,15.92,21,None,v2.1,Discontinued,CHEM-116,2021-07-29,Domestic market
819355,RCP24646,Brie,Brie Extra Aged,Indonesian Local,60,Goat,33.0,69.3,3.05,Mesophilic,Heat-Acid,20.34,90,ISO22000,v3.1,Experimental,CHEM-115,2024-06-23,Review pending
524447,RCP41547,Gouda,Gouda Classic,Traditional Italian,0,Cow,42.5,34.7,1.74,Mesophilic,Acid,17.36,730,Halal,v3.0,Archived,CHEM-122,2024-01-08,Award-winning formula
295072,RCP69230,Parmesan,Parmesan Artisan,Fusion Modern,730,Sheep,40.5,69.1,3.66,Washed Rind,Heat-Acid,15.8,14,Organic,v1.0,Active,CHEM-143,2019-03-05,Domestic market
295076,RCP81950,Parmesan,Parmesan Extra Aged,English Classic,730,Mixed,17.6,27.1,2.66,Mesophilic,Heat-Acid,16.76,60,None,v1.1,Active,CHEM-116,2019-01-14,Pilot batch
983207,RCP49150,Colby,Colby Classic,American Style,30,Cow,14.8,44.9,0.68,Mesophilic,Acid,14.8,60,Kosher,v1.0,Active,CHEM-115,2020-12-06,Review pending
786600,RCP58620,Colby,Colby Extra Aged,Swiss Alpine,90,Goat,27.3,43.2,1.73,Thermophilic,Enzymatic,21.42,90,Halal,v1.0,Archived,CHEM-126,2021-05-05,Pilot batch
262311,RCP61094,Cheddar,Cheddar Young,Traditional Italian,0,Buffalo,21.7,59.9,1.29,Mesophilic,Rennet,10.02,14,None,v2.1,Archived,CHEM-112,2024-11-28,Pilot batch
852142,RCP56116,Gouda,Gouda Reserve,Swiss Alpine,0,Cow,30.1,51.7,3.73,Washed Rind,Rennet,18.59,21,Halal,v3.1,Active,CHEM-124,2023-10-02,Seasonal only
786607,RCP53126,Brie,Brie Bold,English Classic,0,Cow,41.2,43.5,2.89,Washed Rind,Heat-Acid,16.71,90,None,v1.1,Active,CHEM-105,2023-07-11,Export grade
164027,RCP56343,Brie,Brie Artisan,American Style,0,Sheep,36.4,27.5,1.5,Mesophilic,Heat-Acid,15.82,730,Halal+Organic,v1.1,Active,CHEM-121,2023-06-01,Domestic market
426173,RCP68555,Cheddar,Cheddar Classic,Fusion Modern,730,Cow,38.9,24.5,3.51,Washed Rind,Heat-Acid,16.38,21,Halal+Organic,v2.1,In Review,CHEM-128,2020-08-23,Seasonal only
164029,RCP45534,Mozzarella,Mozzarella Extra Aged,Traditional Italian,365,Cow,43.3,20.9,0.82,Mixed Culture,Rennet,8.26,730,Halal,v2.0,Experimental,CHEM-107,2019-10-14,Pilot batch
721087,RCP26463,Gouda,Gouda Artisan,Traditional Italian,30,Sheep,40.0,67.7,3.31,Natural,Heat-Acid,19.78,60,Organic,v3.1,Active,CHEM-120,2020-07-25,Seasonal only
819395,RCP42195,Mozzarella,Mozzarella Reserve,Fusion Modern,0,Cow,14.5,58.0,2.85,Washed Rind,Rennet,20.13,365,Halal+Organic,v3.0,Active,CHEM-126,2023-11-21,Domestic market
557256,RCP26251,Cheddar,Cheddar Extra Aged,Swiss Alpine,30,Mixed,34.4,48.4,3.8,Washed Rind,Rennet,16.85,730,Halal,v2.1,Experimental,CHEM-103,2019-02-20,Review pending
458954,RCP19475,Cheddar,Cheddar Extra Aged,American Style,180,Cow,43.7,23.3,2.38,Thermophilic,Rennet,17.95,30,None,v1.1,Active,CHEM-129,2021-09-13,Standard production
327893,RCP57245,Swiss,Swiss Classic,Traditional Italian,0,Buffalo,39.1,27.2,0.98,Thermophilic,Rennet,21.85,180,None,v2.0,Active,CHEM-123,2020-01-07,Standard production
819415,RCP83683,Mozzarella,Mozzarella Light,Traditional Italian,60,Goat,24.4,35.4,0.61,Mixed Culture,Rennet,12.08,180,Kosher,v3.1,Archived,CHEM-143,2024-02-10,Export grade
491738,RCP26006,Parmesan,Parmesan Extra Aged,Indonesian Local,365,Cow,17.5,70.8,2.8,Mesophilic,Acid,18.35,60,None,v4.0,Active,CHEM-102,2023-05-27,Review pending
426204,RCP21421,Gouda,Gouda Young,English Classic,365,Goat,37.9,66.8,3.71,Mixed Culture,Rennet,19.09,14,Halal,v1.0,Active,CHEM-105,2020-05-05,Standard production
229596,RCP63139,Camembert,Camembert Light,Fusion Modern,30,Cow,13.7,58.9,3.17,Natural,Rennet,12.45,14,Halal,v2.0,Archived,CHEM-140,2020-01-02,Pilot batch
983270,RCP85773,Camembert,Camembert Young,Fusion Modern,90,Cow,34.3,67.4,3.88,Mixed Culture,Enzymatic,20.3,365,Halal,v2.0,In Review,CHEM-129,2019-09-20,Standard production
524522,RCP25114,Mozzarella,Mozzarella Light,Swiss Alpine,730,Cow,37.5,56.9,1.62,Mixed Culture,Rennet,10.52,180,None,v1.1,Discontinued,CHEM-135,2021-03-04,Pilot batch
196845,RCP83930,Mozzarella,Mozzarella Premium,Traditional Italian,90,Sheep,24.8,69.7,3.28,Natural,Acid,12.76,365,Halal,v1.1,Archived,CHEM-117,2021-11-12,Seasonal only
360694,RCP57538,Parmesan,Parmesan Artisan,Swiss Alpine,0,Mixed,27.5,22.7,3.05,Mold-Ripened,Rennet,15.06,180,Halal,v1.1,Discontinued,CHEM-127,2020-08-20,Domestic market
721143,RCP32245,Cheddar,Cheddar Premium,Traditional Italian,0,Cow,19.0,56.4,3.01,Mesophilic,Rennet,9.6,60,None,v1.0,Active,CHEM-111,2022-08-13,Pilot batch
917752,RCP78507,Cheddar,Cheddar Light,Indonesian Local,60,Cow,42.2,63.7,1.24,Mixed Culture,Rennet,11.77,14,None,v1.0,Active,CHEM-128,2024-05-02,Domestic market
295162,RCP77211,Brie,Brie Artisan,French Artisan,730,Sheep,22.5,59.1,2.01,Mold-Ripened,Acid,9.17,30,Halal,v4.0,Active,CHEM-123,2019-11-11,Review pending
426241,RCP24729,Camembert,Camembert Light,French Artisan,365,Cow,33.6,43.3,3.87,Thermophilic,Rennet,20.74,21,None,v2.0,In Review,CHEM-119,2020-05-16,Standard production
786697,RCP98579,Mozzarella,Mozzarella Bold,Traditional Italian,90,Cow,42.2,22.4,2.57,Thermophilic,Rennet,17.55,30,Halal,v1.1,Archived,CHEM-115,2019-10-28,High demand
131338,RCP25918,Parmesan,Parmesan Bold,Traditional Italian,730,Cow,22.1,24.0,3.67,Thermophilic,Rennet,20.61,14,None,v3.1,Active,CHEM-110,2021-10-06,Seasonal only
721163,RCP25883,Mozzarella,Mozzarella Artisan,American Style,0,Goat,26.2,32.0,1.89,Mold-Ripened,Rennet,17.83,21,Kosher,v2.1,Discontinued,CHEM-135,2024-01-27,Award-winning formula
753933,RCP18934,Gouda,Gouda Classic,Indonesian Local,180,Cow,11.0,63.8,0.53,Mesophilic,Rennet,17.25,30,Organic,v2.1,Experimental,CHEM-148,2022-12-06,Domestic market
557325,RCP30494,Ricotta,Ricotta Young,English Classic,60,Cow,32.4,47.3,2.88,Mesophilic,Rennet,21.04,90,None,v3.0,Discontinued,CHEM-148,2023-03-01,Pilot batch
164115,RCP14977,Mozzarella,Mozzarella Young,Traditional Italian,60,Cow,30.4,60.5,3.59,Mixed Culture,Acid,13.61,60,ISO22000,v3.0,Experimental,CHEM-108,2019-07-25,High demand
491797,RCP69092,Parmesan,Parmesan Artisan,Swiss Alpine,90,Cow,38.5,66.0,1.96,Thermophilic,Rennet,21.97,30,Halal,v2.0,Active,CHEM-149,2024-04-17,Seasonal only
229653,RCP20595,Brie,Brie Reserve,Swiss Alpine,90,Goat,22.0,61.2,2.4,Mesophilic,Rennet,20.53,180,Organic,v3.0,Active,CHEM-148,2023-10-22,Export grade
360735,RCP61888,Mozzarella,Mozzarella Artisan,American Style,0,Cow,22.0,49.4,1.64,Mesophilic,Enzymatic,10.22,730,Halal,v4.0,Active,CHEM-121,2019-05-21,Pilot batch
688417,RCP89930,Parmesan,Parmesan Young,English Classic,90,Cow,12.7,60.7,1.98,Mesophilic,Enzymatic,11.51,14,None,v4.0,Archived,CHEM-130,2019-12-28,Review pending
622886,RCP30027,Mozzarella,Mozzarella Artisan,Dutch Heritage,0,Cow,38.8,39.9,2.12,Natural,Rennet,8.86,60,Organic,v4.0,Active,CHEM-106,2023-09-28,Award-winning formula
164136,RCP26398,Mozzarella,Mozzarella Reserve,Fusion Modern,180,Buffalo,23.5,39.1,1.55,Washed Rind,Acid,20.36,60,Halal,v3.0,Active,CHEM-141,2020-12-18,High demand
426285,RCP88105,Brie,Brie Extra Aged,Swiss Alpine,180,Cow,24.8,50.7,1.87,Washed Rind,Enzymatic,18.23,365,Halal,v4.0,Active,CHEM-109,2021-02-16,High demand
164142,RCP10564,Ricotta,Ricotta Reserve,American Style,0,Goat,26.3,21.1,3.0,Mixed Culture,Rennet,12.07,14,Halal,v2.0,Archived,CHEM-106,2024-05-27,High demand
950582,RCP27236,Mozzarella,Mozzarella Bold,Swiss Alpine,365,Cow,41.2,43.5,1.62,Mold-Ripened,Heat-Acid,16.74,30,Kosher,v1.1,Archived,CHEM-136,2019-04-22,Export grade
852281,RCP71105,Emmental,Emmental Bold,French Artisan,365,Cow,35.9,34.8,0.7,Mold-Ripened,Rennet,12.14,180,Halal,v2.0,In Review,CHEM-129,2022-02-17,Review pending
590142,RCP96144,Mozzarella,Mozzarella Young,Fusion Modern,60,Cow,43.6,24.0,3.56,Mold-Ripened,Rennet,10.86,730,None,v1.0,Active,CHEM-138,2021-08-10,Award-winning formula
295241,RCP60378,Mozzarella,Mozzarella Bold,English Classic,0,Buffalo,32.1,69.0,0.84,Mold-Ripened,Acid,21.03,90,None,v3.0,Active,CHEM-142,2023-07-31,Standard production
950602,RCP58541,Camembert,Camembert Bold,English Classic,730,Mixed,36.3,46.8,2.7,Thermophilic,Rennet,17.4,365,None,v1.1,Archived,CHEM-122,2023-11-28,Export grade
524617,RCP61153,Ricotta,Ricotta Light,Fusion Modern,90,Mixed,23.7,73.2,2.38,Washed Rind,Rennet,15.41,365,None,v2.0,In Review,CHEM-144,2024-09-11,Standard production
557391,RCP58581,Camembert,Camembert Classic,Swiss Alpine,180,Cow,33.9,47.8,3.86,Thermophilic,Rennet,17.8,60,Halal,v4.0,Active,CHEM-128,2023-10-13,Standard production
721234,RCP11058,Colby,Colby Premium,Indonesian Local,90,Cow,25.2,67.4,0.9,Mixed Culture,Enzymatic,13.66,90,Organic,v4.0,Active,CHEM-125,2019-06-08,Seasonal only
328021,RCP40744,Cheddar,Cheddar Bold,Indonesian Local,30,Goat,39.3,51.5,3.46,Mesophilic,Rennet,14.83,90,None,v1.1,Active,CHEM-120,2020-04-04,Domestic market
590168,RCP92521,Mozzarella,Mozzarella Bold,Traditional Italian,60,Cow,38.4,21.9,2.56,Natural,Acid,14.97,14,None,v3.0,In Review,CHEM-112,2023-05-01,Export grade
754011,RCP37618,Mozzarella,Mozzarella Reserve,Dutch Heritage,90,Cow,12.5,59.7,3.75,Mesophilic,Rennet,13.1,730,Halal,v1.1,Active,CHEM-110,2023-12-12,Domestic market
819557,RCP59540,Cheddar,Cheddar Light,Traditional Italian,0,Cow,12.1,47.6,2.85,Mixed Culture,Heat-Acid,11.21,30,Organic,v4.0,Discontinued,CHEM-137,2022-02-18,Seasonal only
557414,RCP61559,Brie,Brie Young,French Artisan,365,Goat,32.7,71.8,3.11,Mixed Culture,Rennet,15.82,180,None,v3.0,Active,CHEM-143,2023-02-05,Standard production
819558,RCP37953,Parmesan,Parmesan Artisan,American Style,30,Mixed,37.0,35.5,1.45,Thermophilic,Enzymatic,9.16,60,None,v3.1,Active,CHEM-147,2022-06-27,Standard production
852333,RCP38883,Brie,Brie Classic,Swiss Alpine,0,Cow,40.1,50.6,3.55,Mixed Culture,Heat-Acid,19.18,180,Halal,v4.0,Archived,CHEM-102,2022-04-02,Seasonal only
688493,RCP65764,Cheddar,Cheddar Young,Indonesian Local,90,Mixed,17.4,71.0,2.05,Washed Rind,Acid,12.7,365,Kosher,v1.0,Discontinued,CHEM-106,2024-03-29,High demand
983409,RCP97158,Swiss,Swiss Artisan,French Artisan,0,Cow,17.1,23.4,3.7,Mesophilic,Rennet,19.51,90,None,v1.1,Active,CHEM-149,2021-01-13,Seasonal only
655729,RCP79133,Cheddar,Cheddar Bold,Dutch Heritage,180,Cow,11.1,30.0,2.47,Washed Rind,Rennet,16.72,180,Halal,v4.0,Active,CHEM-110,2019-10-30,Pilot batch
786802,RCP34958,Cheddar,Cheddar Young,Swiss Alpine,0,Cow,37.1,61.5,1.53,Mixed Culture,Rennet,13.85,14,Kosher,v3.0,Active,CHEM-109,2019-05-09,Standard production
229745,RCP91552,Parmesan,Parmesan Reserve,French Artisan,90,Sheep,32.2,55.8,3.15,Mesophilic,Heat-Acid,19.68,21,None,v2.0,Active,CHEM-125,2021-05-02,Standard production
655734,RCP45414,Ricotta,Ricotta Extra Aged,Traditional Italian,730,Goat,16.1,48.3,3.54,Washed Rind,Rennet,19.98,90,None,v2.0,In Review,CHEM-145,2019-08-11,Pilot batch
295290,RCP77221,Cheddar,Cheddar Young,Swiss Alpine,730,Cow,14.6,64.1,3.18,Thermophilic,Acid,20.38,30,None,v1.0,Active,CHEM-115,2022-09-22,Award-winning formula
852351,RCP58182,Cheddar,Cheddar Classic,Traditional Italian,0,Sheep,43.7,23.0,3.22,Mixed Culture,Enzymatic,18.46,180,Halal,v4.0,Active,CHEM-106,2024-06-09,Review pending
295300,RCP12841,Emmental,Emmental Reserve,French Artisan,180,Mixed,44.3,35.2,3.71,Thermophilic,Rennet,16.43,14,Kosher,v3.1,In Review,CHEM-123,2021-10-14,Seasonal only
262539,RCP39971,Brie,Brie Classic,American Style,30,Cow,34.1,42.8,3.29,Thermophilic,Rennet,9.47,14,Kosher,v4.0,Discontinued,CHEM-149,2023-11-25,High demand
360845,RCP53942,Cheddar,Cheddar Young,French Artisan,180,Buffalo,43.3,67.7,2.78,Washed Rind,Enzymatic,18.19,30,Halal,v3.1,In Review,CHEM-126,2023-11-02,Standard production
295310,RCP76265,Parmesan,Parmesan Young,Dutch Heritage,60,Cow,23.0,56.9,1.76,Thermophilic,Rennet,11.38,180,None,v1.1,Active,CHEM-113,2024-12-13,Award-winning formula
131470,RCP65541,Emmental,Emmental Extra Aged,English Classic,30,Cow,25.3,28.5,1.57,Washed Rind,Rennet,19.67,60,Halal,v2.0,Discontinued,CHEM-127,2024-06-14,Review pending
655761,RCP86510,Brie,Brie Bold,Indonesian Local,0,Goat,40.5,33.3,1.11,Mold-Ripened,Rennet,9.56,30,Halal,v1.1,Active,CHEM-107,2024-06-14,High demand
885142,RCP54996,Colby,Colby Premium,American Style,0,Goat,29.1,56.8,2.22,Mesophilic,Acid,14.9,14,ISO22000,v2.0,Discontinued,CHEM-113,2023-12-20,Pilot batch
491929,RCP78740,Brie,Brie Extra Aged,American Style,180,Cow,33.3,60.6,3.77,Washed Rind,Rennet,20.23,180,Halal+Organic,v2.0,Archived,CHEM-132,2023-11-18,Award-winning formula
295325,RCP26676,Cheddar,Cheddar Extra Aged,English Classic,180,Cow,29.1,61.7,1.13,Mesophilic,Rennet,13.26,14,None,v3.1,In Review,CHEM-123,2022-12-12,Export grade
524703,RCP87498,Cheddar,Cheddar Light,Dutch Heritage,0,Cow,44.8,71.5,3.37,Washed Rind,Acid,10.99,21,Kosher,v4.0,Discontinued,CHEM-134,2022-09-07,Seasonal only
983460,RCP84003,Emmental,Emmental Extra Aged,Swiss Alpine,30,Goat,36.4,46.9,2.21,Washed Rind,Rennet,10.84,14,Organic,v1.0,In Review,CHEM-144,2019-03-15,Award-winning formula
721325,RCP85767,Mozzarella,Mozzarella Classic,Dutch Heritage,180,Mixed,29.1,63.3,3.21,Washed Rind,Rennet,20.63,21,None,v1.1,Discontinued,CHEM-133,2024-12-28,Export grade
983476,RCP84091,Swiss,Swiss Premium,Swiss Alpine,180,Cow,31.9,50.9,2.39,Mesophilic,Enzymatic,19.08,30,Halal,v4.0,Active,CHEM-141,2019-07-11,Domestic market
491964,RCP96449,Cheddar,Cheddar Young,Traditional Italian,0,Cow,18.7,39.5,2.89,Washed Rind,Rennet,10.65,21,Halal+Organic,v2.1,Active,CHEM-126,2019-07-06,Seasonal only
426429,RCP80435,Mozzarella,Mozzarella Extra Aged,Fusion Modern,730,Cow,25.1,23.3,3.09,Mixed Culture,Acid,10.5,730,Organic,v2.0,Active,CHEM-119,2022-02-21,Standard production
229822,RCP61550,Cheddar,Cheddar Classic,Indonesian Local,90,Cow,34.8,32.8,2.14,Washed Rind,Enzymatic,12.58,60,Halal,v2.1,Archived,CHEM-106,2023-01-26,Standard production
754116,RCP95216,Cheddar,Cheddar Young,Traditional Italian,90,Cow,33.3,21.0,0.83,Mixed Culture,Rennet,13.2,180,Halal+Organic,v1.0,Archived,CHEM-131,2020-03-16,Pilot batch
852428,RCP97246,Mozzarella,Mozzarella Classic,French Artisan,30,Cow,25.1,50.7,3.25,Mesophilic,Rennet,13.53,21,Halal,v3.1,Archived,CHEM-122,2020-05-01,Domestic market
393678,RCP65442,Mozzarella,Mozzarella Young,Dutch Heritage,60,Cow,10.8,60.0,2.7,Washed Rind,Acid,17.04,14,ISO22000,v3.1,Active,CHEM-112,2020-07-08,Domestic market
262611,RCP34150,Cheddar,Cheddar Reserve,Fusion Modern,0,Mixed,10.9,48.4,1.47,Thermophilic,Rennet,9.7,90,None,v2.1,Active,CHEM-105,2022-08-28,Standard production
426453,RCP30831,Gouda,Gouda Reserve,American Style,30,Cow,20.7,71.7,2.12,Mesophilic,Rennet,9.33,21,Halal+Organic,v2.1,Discontinued,CHEM-116,2024-02-18,Pilot batch
786904,RCP67971,Mozzarella,Mozzarella Extra Aged,Fusion Modern,365,Cow,29.4,73.5,1.87,Washed Rind,Rennet,14.12,60,None,v3.0,Experimental,CHEM-134,2024-01-27,Review pending
524766,RCP80458,Cheddar,Cheddar Reserve,Dutch Heritage,30,Cow,24.8,59.8,3.36,Washed Rind,Acid,16.25,30,None,v1.1,Active,CHEM-142,2019-12-04,Review pending
983519,RCP48466,Emmental,Emmental Classic,American Style,60,Cow,32.7,30.4,2.96,Washed Rind,Rennet,8.71,730,Halal,v1.1,In Review,CHEM-115,2019-12-14,Standard production
721375,RCP84375,Cheddar,Cheddar Reserve,French Artisan,0,Cow,41.9,25.4,2.28,Mold-Ripened,Rennet,21.43,30,Halal,v2.1,Discontinued,CHEM-136,2019-07-13,Award-winning formula
786913,RCP33876,Parmesan,Parmesan Bold,American Style,90,Cow,18.2,71.9,3.31,Mixed Culture,Rennet,21.65,21,None,v2.1,Archived,CHEM-126,2019-09-24,High demand
229857,RCP16196,Swiss,Swiss Bold,French Artisan,180,Goat,19.1,66.3,1.07,Natural,Heat-Acid,20.02,730,Halal+Organic,v4.0,Active,CHEM-122,2023-06-20,Award-winning formula
