equipment_id,asset_tag,equipment_name,equipment_type,manufacturer,model_number,serial_number,installation_date,last_maintenance_date,next_maintenance_due,plant_area,capacity_liters_hr,power_consumption_kw,status,maintenance_contract,asset_value_idr,depreciation_years,responsible_team,iot_enabled,notes
5603431,AST197589,OMVE Homogenizer Standard,Homogenizer,SPX Flow,MDL-5884-B,SN34750471,2020-01-14,2023-05-15,2024-11-29,Cold Storage,238.0,421.9,Operational,Full Service,1056880000.0,10,Engineering A,Yes,Backup unit
5439589,AST214901,Feldmeier Homogenizer Industrial,Homogenizer,SPX Flow,MDL-8594-E,SN48729654,2014-07-22,2019-03-07,2024-11-20,Processing,3024.0,82.6,Operational,Full Service,4022360000.0,7,Operations,No,Good condition
3571816,AST945629,Paul Mueller Homogenizer Max,Homogenizer,GEA Group,MDL-4520-C,SN22727472,2017-05-07,2021-11-16,2025-09-26,CIP Room,768.0,251.9,Operational,Parts Only,3870620000.0,15,External Contractor,Yes,Recently overhauled
6127728,AST171362,Feldmeier Vat Cheese Maker Industrial,Vat Cheese Maker,Alfa Laval,MDL-6996-A,SN28730338,2022-06-25,2023-12-26,2024-12-09,Loading Dock,2955.0,72.7,Operational,Parts Only,5391990000.0,15,External Contractor,No,Scheduled for replacement
6291572,AST890249,SPX Flow Centrifuge Pro,Centrifuge,GEA Group,MDL-8562-A,SN53582393,2015-06-23,2018-09-22,2025-02-19,Receiving,948.0,333.5,Operational,None,15108050000.0,10,External Contractor,No,Good condition
1081467,AST851284,Scherjon CIP System Compact,CIP System,Tetra Pak,MDL-5507-B,SN22285000,2017-07-18,2020-01-08,2025-03-31,Processing,782.0,475.0,Operational,None,4749330000.0,20,Engineering A,No,Aging unit
5636221,AST215952,Pasilac Pasteurizer Pro,Pasteurizer,Paul Mueller,MDL-8062-A,SN83153371,2008-05-20,2015-12-03,2024-02-20,Processing,945.0,191.0,Under Maintenance,None,1355150000.0,10,External Contractor,Yes,Critical line
1704068,AST436806,Pasilac CIP System Industrial,CIP System,GEA Group,MDL-7663-B,SN16347556,2007-07-13,2017-01-20,2024-03-20,Packaging,4077.0,248.8,Decommissioned,Full Service,8811310000.0,5,Utilities,Yes,Scheduled for replacement
5865607,AST951398,Tetra Pak Homogenizer Industrial,Homogenizer,Paul Mueller,MDL-1152-D,SN57738442,2013-01-19,2013-07-13,2025-01-01,Receiving,314.0,263.5,Under Maintenance,Full Service,17341910000.0,15,Utilities,Yes,High performer
4522120,AST179521,OMVE CIP System Elite,CIP System,Alfa Laval,MDL-7872-A,SN51121519,2016-11-01,2017-05-13,2024-11-20,Laboratory,1111.0,133.7,Decommissioned,Parts Only,4861590000.0,5,Utilities,No,Aging unit
2621582,AST716491,GEA Group UHT Unit Standard,UHT Unit,Feldmeier,MDL-7439-A,SN98055807,2006-12-06,2013-01-25,2026-07-13,Packaging,3096.0,334.6,Decommissioned,Labour Only,15805560000.0,5,Engineering B,Yes,Good condition
1409167,AST286169,Tetra Pak Homogenizer Standard,Homogenizer,Paul Mueller,MDL-3289-E,SN49298431,2015-03-14,2021-02-19,2025-01-19,Processing,2212.0,214.3,Standby,Labour Only,5935500000.0,15,Engineering B,Yes,Scheduled for replacement
5570706,AST769849,GEA Group Cooling Tank Industrial,Cooling Tank,Feldmeier,MDL-1155-C,SN50925090,2008-10-13,2024-08-12,2026-09-04,Cold Storage,2080.0,108.9,Operational,Full Service,13945230000.0,7,Operations,Yes,Backup unit
5865620,AST167406,OMVE Homogenizer Compact,Homogenizer,GEA Group,MDL-2128-D,SN17671563,2022-03-23,2023-08-06,2024-12-03,Processing,21090.0,28.5,Standby,Labour Only,22319160000.0,10,External Contractor,No,High performer
7569556,AST270404,Alfa Laval Dryer Plus,Dryer,Scherjon,MDL-5958-B,SN44855709,2009-12-19,2024-10-29,2026-02-01,Cold Storage,251.0,422.6,Operational,None,22961730000.0,10,Utilities,Yes,Aging unit
3604628,AST447963,Pasilac Vat Cheese Maker Industrial,Vat Cheese Maker,Paul Mueller,MDL-4795-C,SN18767307,2007-08-17,2021-11-12,2025-10-21,Laboratory,1360.0,54.3,Operational,Full Service,4820730000.0,15,External Contractor,No,Backup unit
6979742,AST280810,Krones Cooling Tank Max,Cooling Tank,OMVE,MDL-2762-C,SN36154711,2009-10-10,2012-06-21,2024-08-06,Processing,20907.0,451.4,Operational,None,3287580000.0,15,Engineering A,Yes,Recently overhauled
6062244,AST572687,Tetra Pak Butter Churn Standard,Butter Churn,Krones,MDL-9193-A,SN22198821,2011-12-14,2018-05-03,2026-08-23,CIP Room,5552.0,400.9,Operational,Full Service,3085380000.0,5,Engineering B,Yes,Good condition
6258856,AST134906,Krones Dryer Elite,Dryer,Alfa Laval,MDL-4595-D,SN53300605,2009-12-16,2015-08-15,2024-03-22,Processing,1023.0,354.1,Operational,None,13295620000.0,15,Operations,Yes,Backup unit
8913071,AST978696,OMVE Cooling Tank Pro,Cooling Tank,Paul Mueller,MDL-4864-A,SN83425800,2007-09-17,2019-04-14,2025-10-17,Laboratory,4210.0,322.5,Operational,None,740670000.0,10,Operations,No,Aging unit
8192179,AST684945,Tetra Pak Vat Cheese Maker Plus,Vat Cheese Maker,GEA Group,MDL-6279-A,SN47590056,2021-10-11,2022-04-28,2025-06-25,Cold Storage,405.0,271.3,Standby,Labour Only,27003370000.0,5,Engineering A,No,Backup unit
8716471,AST234085,Alfa Laval Filling Machine Max,Filling Machine,Tetra Pak,MDL-9996-E,SN20126156,2005-08-02,2017-04-02,2026-03-20,Packaging,325.0,35.2,Standby,Extended Warranty,109416930000.0,20,External Contractor,No,Critical line
1933495,AST877681,Feldmeier CIP System Pro,CIP System,Feldmeier,MDL-8186-E,SN40420657,2014-07-30,2016-06-13,2025-03-08,CIP Room,161.0,20.0,Under Maintenance,Full Service,6232890000.0,5,Utilities,No,Aging unit
7635129,AST421461,Scherjon Homogenizer Standard,Homogenizer,Krones,MDL-1635-C,SN44611817,2019-07-04,2022-04-16,2024-09-10,Receiving,3597.0,111.6,Under Maintenance,Extended Warranty,1455530000.0,5,Operations,Yes,Recently overhauled
1114299,AST475390,Tetra Pak Butter Churn Compact,Butter Churn,Pasilac,MDL-9080-B,SN90294165,2015-07-24,2024-11-14,2026-09-12,Loading Dock,457.0,236.5,Operational,Full Service,6756210000.0,5,Engineering A,Yes,Critical line
6979772,AST531100,Paul Mueller Vat Cheese Maker Mini,Vat Cheese Maker,Feldmeier,MDL-4601-C,SN14552012,2022-10-09,2022-11-28,2026-06-11,Receiving,2935.0,309.0,Operational,Full Service,270320000.0,5,Engineering A,No,High performer
4260036,AST168594,Krones Pasteurizer Plus,Pasteurizer,GEA Group,MDL-9430-A,SN64065015,2011-07-10,2012-06-22,2025-04-18,Packaging,1932.0,415.1,Operational,None,1520150000.0,5,Utilities,Yes,Critical line
5374148,AST649482,SPX Flow Filling Machine Standard,Filling Machine,Scherjon,MDL-9066-D,SN54178439,2007-01-25,2017-07-16,2025-09-01,Cold Storage,1426.0,301.4,Operational,Extended Warranty,3125310000.0,20,Engineering A,Yes,Backup unit
2261189,AST391518,Scherjon Dryer Elite,Dryer,Pasilac,MDL-4968-D,SN19895036,2012-09-28,2024-03-07,2026-07-16,Cold Storage,1959.0,11.1,Under Maintenance,Parts Only,33134050000.0,10,Operations,Yes,Critical line
6783175,AST328687,Krones Cooling Tank Industrial,Cooling Tank,Alfa Laval,MDL-1243-E,SN52733495,2011-06-18,2024-04-05,2026-04-18,Cold Storage,2242.0,317.1,Operational,None,1788920000.0,15,External Contractor,No,Backup unit
9404616,AST346007,SPX Flow Pasteurizer Industrial,Pasteurizer,GEA Group,MDL-3448-A,SN21831547,2020-01-03,2023-08-12,2025-12-27,Loading Dock,407.0,155.6,Operational,Extended Warranty,66810710000.0,20,Utilities,Yes,Critical line
3113163,AST626898,SPX Flow Dryer Plus,Dryer,SPX Flow,MDL-5854-E,SN49086989,2015-07-17,2022-05-08,2026-02-06,Receiving,1197.0,406.6,Operational,Full Service,6661860000.0,5,Engineering B,No,High performer
9994444,AST598036,GEA Group Centrifuge Compact,Centrifuge,Pasilac,MDL-8181-C,SN25115366,2022-03-27,2024-07-25,2025-06-23,Receiving,5627.0,371.0,Under Maintenance,Parts Only,5796180000.0,15,Operations,No,Vibration issue
5079246,AST817381,SPX Flow Homogenizer Industrial,Homogenizer,Krones,MDL-8330-A,SN68771065,2015-07-01,2022-01-13,2026-02-05,Packaging,5845.0,176.8,Operational,Full Service,1976560000.0,20,Operations,Yes,Good condition
6848722,AST319233,Krones Dryer Max,Dryer,Paul Mueller,MDL-9314-A,SN25152885,2011-07-30,2023-06-12,2024-04-10,Aging Room,378.0,238.4,Standby,Full Service,29803880000.0,10,Engineering A,No,Scheduled for replacement
9273555,AST895669,Scherjon Pasteurizer Mini,Pasteurizer,Krones,MDL-4423-A,SN81935323,2013-08-20,2019-01-03,2025-07-20,Cold Storage,1135.0,281.6,Standby,Parts Only,82048170000.0,7,Utilities,Yes,High performer
5308632,AST932088,Paul Mueller CIP System Elite,CIP System,Pasilac,MDL-8860-C,SN39274624,2007-12-13,2014-07-18,2025-01-24,Processing,994.0,266.0,Standby,None,768600000.0,5,Operations,No,Good condition
8913113,AST311074,OMVE Butter Churn Plus,Butter Churn,Paul Mueller,MDL-2109-C,SN59298790,2010-08-28,2017-10-12,2026-06-22,Laboratory,474.0,37.2,Operational,None,3247380000.0,10,Utilities,No,Recently overhauled
5177563,AST229765,Feldmeier Pasteurizer Standard,Pasteurizer,Krones,MDL-5093-E,SN86839875,2016-10-24,2018-07-13,2025-04-19,Processing,375.0,219.0,Standby,None,2008400000.0,20,Engineering B,No,Vibration issue
3670236,AST457820,GEA Group Centrifuge Elite,Centrifuge,OMVE,MDL-6029-D,SN68156218,2007-05-19,2024-12-02,2026-08-11,Aging Room,890.0,373.5,Operational,None,109001800000.0,15,Engineering A,No,High performer
1540320,AST993980,SPX Flow UHT Unit Pro,UHT Unit,Alfa Laval,MDL-1185-D,SN96433815,2009-02-21,2014-01-28,2025-10-18,CIP Room,4673.0,393.6,Operational,Extended Warranty,3020050000.0,5,Operations,Yes,Critical line
6881505,AST871130,Scherjon Butter Churn Industrial,Butter Churn,Pasilac,MDL-1546-D,SN65852149,2009-11-24,2014-02-22,2025-12-03,Loading Dock,2396.0,286.8,Operational,Parts Only,3353980000.0,7,Engineering B,Yes,Aging unit
7733472,AST638196,Scherjon CIP System Compact,CIP System,SPX Flow,MDL-5942-A,SN94323117,2017-01-24,2018-08-01,2025-12-08,Packaging,2761.0,204.9,Decommissioned,Full Service,314390000.0,20,Engineering A,No,Aging unit
5669095,AST752022,OMVE Cooling Tank Plus,Cooling Tank,Feldmeier,MDL-3236-B,SN97617792,2021-04-28,2023-08-22,2025-08-13,Cold Storage,404.0,230.3,Operational,Extended Warranty,7947790000.0,15,Engineering A,No,Critical line
9765096,AST419187,Krones Homogenizer Elite,Homogenizer,OMVE,MDL-5720-E,SN54053232,2016-03-03,2020-07-08,2026-01-04,Aging Room,1056.0,352.6,Operational,Parts Only,388184230000.0,5,Engineering B,No,High performer
3735786,AST498184,Scherjon Butter Churn Elite,Butter Churn,OMVE,MDL-2283-C,SN41764728,2008-11-05,2023-06-08,2026-11-10,Loading Dock,1027.0,495.4,Operational,Extended Warranty,975770000.0,10,Engineering B,No,Backup unit
1245420,AST871848,Paul Mueller UHT Unit Pro,UHT Unit,SPX Flow,MDL-4321-C,SN34435289,2022-10-14,2023-03-15,2024-10-30,Laboratory,2345.0,229.1,Under Maintenance,Parts Only,6515090000.0,15,Operations,No,Aging unit
9830639,AST786797,Pasilac Filling Machine Max,Filling Machine,Alfa Laval,MDL-2802-B,SN19839129,2009-01-02,2023-09-08,2024-08-21,CIP Room,3455.0,79.0,Under Maintenance,Full Service,23530030000.0,7,Engineering A,Yes,Critical line
5112050,AST306934,Krones Cooling Tank Standard,Cooling Tank,Alfa Laval,MDL-4184-E,SN97537032,2011-02-22,2014-05-07,2026-04-21,Cold Storage,1781.0,283.7,Operational,Parts Only,1219880000.0,10,Engineering A,Yes,Backup unit
3604723,AST149137,Alfa Laval Cooling Tank Elite,Cooling Tank,Paul Mueller,MDL-6540-A,SN84221821,2014-11-21,2017-05-04,2025-04-14,Receiving,87.0,182.2,Operational,Labour Only,112176990000.0,20,Operations,Yes,Vibration issue
4948226,AST328287,Feldmeier Cooling Tank Industrial,Cooling Tank,Scherjon,MDL-9372-C,SN97463203,2013-05-02,2020-10-03,2025-12-06,CIP Room,5280.0,97.5,Standby,None,4101460000.0,5,External Contractor,Yes,High performer
5570819,AST574572,Tetra Pak Dryer Compact,Dryer,Krones,MDL-4401-E,SN81018055,2015-04-13,2021-03-22,2025-09-17,Laboratory,4143.0,144.6,Operational,None,724910000.0,7,Utilities,No,Backup unit
8192281,AST796421,Feldmeier Filling Machine Mini,Filling Machine,Tetra Pak,MDL-1995-B,SN38220524,2015-07-10,2015-10-22,2024-01-13,Loading Dock,1186.0,371.9,Operational,Labour Only,7546280000.0,10,External Contractor,Yes,Recently overhauled
1409307,AST831048,Pasilac UHT Unit Pro,UHT Unit,Krones,MDL-9402-A,SN59934138,2011-09-20,2018-03-31,2025-01-07,Laboratory,862.0,398.8,Standby,Labour Only,9297070000.0,20,Operations,No,Scheduled for replacement
8913180,AST857669,Paul Mueller Homogenizer Compact,Homogenizer,Tetra Pak,MDL-8547-D,SN45847515,2013-11-09,2019-04-26,2026-02-15,Cold Storage,895.0,138.4,Under Maintenance,Parts Only,3814430000.0,5,Engineering B,No,Good condition
2392350,AST498164,Paul Mueller Vat Cheese Maker Mini,Vat Cheese Maker,SPX Flow,MDL-5168-A,SN37737009,2022-04-15,2022-09-22,2026-03-25,Packaging,532.0,47.7,Operational,Parts Only,7692540000.0,10,Utilities,Yes,Vibration issue
9732384,AST585006,Pasilac UHT Unit Compact,UHT Unit,Feldmeier,MDL-4212-E,SN52694315,2005-09-09,2019-09-20,2026-09-23,Cold Storage,333.0,305.7,Operational,Labour Only,126506380000.0,7,Utilities,No,Critical line
7176481,AST299835,OMVE UHT Unit Pro,UHT Unit,SPX Flow,MDL-5815-A,SN82313121,2022-12-22,2022-12-22,2025-09-13,CIP Room,774.0,478.4,Operational,Extended Warranty,1185110000.0,10,Engineering B,Yes,Vibration issue
1114403,AST752823,OMVE Filling Machine Standard,Filling Machine,Tetra Pak,MDL-5075-D,SN54774388,2021-08-19,2024-07-27,2026-05-21,Loading Dock,27526.0,382.7,Operational,None,12952570000.0,7,Engineering B,No,Good condition
1147172,AST829528,Alfa Laval UHT Unit Standard,UHT Unit,Alfa Laval,MDL-8772-A,SN93791947,2013-06-20,2014-03-18,2025-08-29,Processing,1441.0,437.4,Operational,None,10112170000.0,20,Engineering A,Yes,Backup unit
1507624,AST153207,Scherjon Vat Cheese Maker Max,Vat Cheese Maker,Feldmeier,MDL-8985-C,SN20059309,2006-05-07,2007-11-26,2026-10-09,Loading Dock,8609.0,374.5,Operational,Full Service,766140000.0,15,Engineering B,No,Backup unit
1605929,AST885980,SPX Flow Pasteurizer Pro,Pasteurizer,Tetra Pak,MDL-7343-C,SN28336675,2006-12-31,2013-08-14,2026-01-16,Packaging,1912.0,86.4,Decommissioned,None,47600110000.0,15,Utilities,Yes,Aging unit
8290604,AST386672,Paul Mueller Vat Cheese Maker Pro,Vat Cheese Maker,Feldmeier,MDL-5236-E,SN55348363,2019-02-15,2023-10-21,2024-01-10,Packaging,972.0,463.8,Operational,Full Service,1698450000.0,15,Utilities,Yes,Good condition
7635246,AST473953,Tetra Pak Filling Machine Mini,Filling Machine,OMVE,MDL-2824-C,SN49576134,2010-06-03,2021-04-23,2026-06-11,CIP Room,616.0,195.4,Operational,Full Service,14692350000.0,20,Operations,Yes,Critical line
3244337,AST485271,Feldmeier Pasteurizer Industrial,Pasteurizer,Tetra Pak,MDL-4330-D,SN68460678,2009-10-15,2014-04-12,2025-07-13,CIP Room,1846.0,65.9,Operational,None,6429290000.0,10,External Contractor,No,Good condition
9634101,AST609927,Feldmeier Filling Machine Mini,Filling Machine,Tetra Pak,MDL-7318-A,SN62520529,2014-05-13,2024-09-23,2026-07-02,Loading Dock,1174.0,351.4,Operational,Parts Only,2136520000.0,20,External Contractor,Yes,Critical line
1966393,AST930259,OMVE Cooling Tank Industrial,Cooling Tank,SPX Flow,MDL-5964-C,SN19403460,2005-01-17,2016-10-15,2025-07-14,Cold Storage,733.0,189.9,Operational,None,6566850000.0,10,External Contractor,No,Scheduled for replacement
3703097,AST877266,Alfa Laval CIP System Compact,CIP System,Pasilac,MDL-9120-B,SN18931831,2006-06-21,2022-09-16,2024-02-09,Receiving,4068.0,201.2,Operational,Parts Only,5591350000.0,7,Utilities,No,Vibration issue
5439806,AST442562,Alfa Laval Cooling Tank Max,Cooling Tank,SPX Flow,MDL-4340-D,SN14949517,2007-03-04,2007-10-25,2025-03-18,Loading Dock,2976.0,347.8,Operational,Full Service,22101230000.0,10,External Contractor,No,Critical line
7569728,AST280910,Pasilac Filling Machine Max,Filling Machine,Scherjon,MDL-1318-A,SN12448855,2012-03-08,2016-06-06,2025-12-16,CIP Room,658.0,49.1,Operational,Extended Warranty,16188120000.0,5,Engineering B,Yes,High performer
6947138,AST171632,SPX Flow Dryer Pro,Dryer,OMVE,MDL-5788-E,SN94807258,2009-10-22,2023-05-06,2026-08-04,Cold Storage,1312.0,375.2,Decommissioned,Full Service,7007190000.0,10,Engineering A,No,Vibration issue
9404743,AST110936,OMVE Pasteurizer Plus,Pasteurizer,Scherjon,MDL-3855-D,SN35144548,2007-07-25,2010-02-16,2024-08-07,Packaging,656.0,354.3,Standby,None,16447760000.0,15,Operations,No,Aging unit
9437513,AST758360,Scherjon Filling Machine Elite,Filling Machine,Paul Mueller,MDL-7073-B,SN66838621,2022-09-19,2023-09-02,2026-10-22,Aging Room,309.0,258.7,Operational,Labour Only,13046020000.0,15,Engineering A,Yes,Backup unit
5439818,AST558801,SPX Flow Homogenizer Elite,Homogenizer,Krones,MDL-3519-D,SN49713200,2019-10-18,2020-11-17,2025-10-17,Receiving,227.0,14.0,Operational,None,19121560000.0,5,Operations,Yes,Backup unit
6881610,AST161139,SPX Flow Homogenizer Plus,Homogenizer,Scherjon,MDL-2332-D,SN36298621,2011-11-17,2011-12-02,2026-05-26,Cold Storage,58.0,289.8,Operational,None,9642860000.0,15,Utilities,No,Critical line
4424012,AST475926,Pasilac CIP System Industrial,CIP System,SPX Flow,MDL-9829-A,SN49455935,2015-03-06,2019-07-09,2025-01-05,Laboratory,204.0,478.7,Out of Service,None,33732840000.0,10,Engineering A,No,Aging unit
